"","Age","gender","Attitude","Points","deep","surf","stra"
"1",53,"F",37,25,3.58333333333333,2.58333333333333,3.375
"2",55,"M",31,12,2.91666666666667,3.16666666666667,2.75
"3",49,"F",25,24,3.5,2.25,3.625
"4",53,"M",35,10,3.5,2.25,3.125
"5",49,"M",37,22,3.66666666666667,2.83333333333333,3.625
"6",38,"F",38,21,4.75,2.41666666666667,3.625
"7",50,"M",35,21,3.83333333333333,1.91666666666667,2.25
"8",37,"F",29,31,3.25,2.83333333333333,4
"9",37,"M",38,24,4.33333333333333,2.16666666666667,4.25
"10",42,"F",21,26,4,3,3.5
"11",37,"M",39,31,3.58333333333333,2.66666666666667,3.625
"12",34,"F",38,31,3.83333333333333,2.41666666666667,4.75
"13",34,"F",24,23,4.25,2.25,3.625
"14",34,"F",30,25,3.33333333333333,2.75,3.5
"15",35,"M",26,21,4.16666666666667,2.33333333333333,1.75
"16",33,"F",41,31,3.66666666666667,2.33333333333333,3.875
"17",32,"F",26,20,4.08333333333333,2.91666666666667,1.375
"18",44,"F",26,22,3.5,2.5,3.25
"19",29,"M",17,9,4.08333333333333,3.75,3
"20",30,"F",27,24,4,2.75,3.75
"21",27,"M",39,28,3.91666666666667,2.33333333333333,2.625
"22",29,"M",34,30,4,2.41666666666667,2.375
"23",31,"F",27,24,4,3,3.625
"24",37,"F",23,9,3.66666666666667,2.41666666666667,2.75
"25",26,"F",37,26,3.66666666666667,2.83333333333333,1.75
"26",26,"F",44,32,4.41666666666667,3.16666666666667,3.25
"27",30,"M",41,32,3.91666666666667,3,4
"28",33,"F",37,33,3.75,2,3.625
"29",33,"F",25,29,3.25,3.5,2.875
"30",28,"M",30,30,3.58333333333333,3.75,3
"31",26,"M",34,19,4.91666666666667,2.5,1.625
"32",27,"F",32,23,3.58333333333333,2.08333333333333,3.25
"33",25,"F",20,19,2.91666666666667,2.41666666666667,3.5
"34",31,"F",24,12,3.66666666666667,2.58333333333333,3
"35",20,"M",42,10,4.5,1.58333333333333,3.25
"36",39,"F",16,11,4.08333333333333,2.83333333333333,1.875
"37",38,"M",31,20,3.83333333333333,1.83333333333333,4.375
"38",24,"M",38,26,3.25,2.41666666666667,3.625
"39",26,"M",38,31,2.33333333333333,3.25,2.5
"40",25,"M",33,20,3.33333333333333,3.41666666666667,1.25
"41",30,"F",17,23,4.08333333333333,3.41666666666667,4
"42",25,"F",25,12,2.91666666666667,3.16666666666667,3
"43",30,"M",32,24,3.33333333333333,3.5,2.5
"44",48,"F",35,17,3.83333333333333,2.66666666666667,4.875
"45",24,"F",32,29,3.66666666666667,2.41666666666667,5
"46",40,"F",42,23,4.66666666666667,3.58333333333333,4.375
"47",25,"M",31,28,3.75,2.08333333333333,3.25
"48",23,"F",39,31,3.41666666666667,3.75,4
"49",25,"F",19,23,4.16666666666667,2.91666666666667,3.125
"50",23,"F",21,25,2.91666666666667,2.91666666666667,2.5
"51",27,"M",25,18,4.16666666666667,2.41666666666667,3.125
"52",25,"M",32,19,3.58333333333333,3,3.25
"53",23,"M",32,22,2.83333333333333,3.41666666666667,2.125
"54",23,"F",26,25,4,2.91666666666667,2.75
"55",23,"F",23,21,2.91666666666667,3.25,2.375
"56",45,"F",38,9,3,3.25,3.125
"57",22,"F",28,28,4.08333333333333,2.33333333333333,4
"58",23,"F",33,25,2.91666666666667,3.25,4
"59",21,"M",48,29,3.5,2.5,2.25
"60",21,"M",40,33,4.33333333333333,1.75,3.25
"61",21,"F",40,33,4.25,2.25,3.625
"62",21,"F",47,25,3.41666666666667,2.08333333333333,3.625
"63",26,"F",23,18,3.08333333333333,2.83333333333333,2.5
"64",25,"F",31,22,4.58333333333333,2.83333333333333,1.875
"65",26,"F",27,17,3.41666666666667,2.41666666666667,2
"66",21,"M",41,25,3.41666666666667,2.25,1.875
"67",23,"F",34,28,3.41666666666667,2.83333333333333,4
"68",22,"F",25,22,3.58333333333333,2.25,2.875
"69",22,"F",21,26,1.58333333333333,1.83333333333333,3.875
"70",22,"F",14,11,3.33333333333333,2.91666666666667,2.5
"71",23,"F",19,29,4.33333333333333,2.91666666666667,2.75
"72",22,"M",37,22,4.41666666666667,2.08333333333333,4.5
"73",23,"M",32,21,4.83333333333333,2.33333333333333,3.375
"74",24,"M",28,28,3.08333333333333,2.41666666666667,2.625
"75",22,"F",41,33,3,2.75,4.125
"76",23,"F",25,16,4.08333333333333,3.25,2.625
"77",22,"M",28,31,4.08333333333333,1.75,2.25
"78",20,"M",38,22,3.75,2.58333333333333,2.75
"79",22,"M",31,31,3.08333333333333,3.33333333333333,3
"80",21,"M",35,23,4.75,2.83333333333333,1.625
"81",22,"F",36,26,4.25,2.5,1.875
"82",23,"F",26,12,4.16666666666667,2.41666666666667,3.375
"83",21,"M",44,26,4.41666666666667,2.41666666666667,3.75
"84",22,"M",45,31,3.83333333333333,2.58333333333333,2.125
"85",29,"M",32,19,3.33333333333333,3,2.375
"86",29,"F",39,30,3.16666666666667,2,2.75
"87",21,"F",25,12,3.16666666666667,3.41666666666667,3.125
"88",28,"M",33,17,3.83333333333333,2.83333333333333,3.5
"89",21,"F",33,18,4.25,2.25,2.625
"90",30,"F",30,19,3.83333333333333,2.75,3.375
"91",21,"F",29,21,3.66666666666667,3.91666666666667,2.25
"92",23,"M",33,24,3.83333333333333,2.33333333333333,3
"93",21,"F",33,28,3.83333333333333,2.75,4
"94",21,"F",35,17,3.83333333333333,2.75,3.5
"95",20,"F",36,18,3.66666666666667,2.91666666666667,2.625
"96",22,"M",37,17,4.33333333333333,2.08333333333333,2.5
"97",21,"M",42,23,3.75,3.66666666666667,3.75
"98",21,"M",32,26,4.16666666666667,2.83333333333333,3.625
"99",20,"F",50,28,4,3.41666666666667,4.125
"100",22,"M",47,31,4,1.58333333333333,4.375
"101",20,"F",36,27,4.58333333333333,2.91666666666667,2.625
"102",20,"F",36,25,3.66666666666667,3,4
"103",24,"M",29,23,3.66666666666667,2.91666666666667,2.75
"104",20,"F",35,21,3.83333333333333,2.66666666666667,2.75
"105",19,"F",40,27,2.58333333333333,3,1.375
"106",21,"F",35,28,3.5,2.75,2.25
"107",21,"F",32,23,3.08333333333333,3.08333333333333,3.625
"108",22,"F",26,21,4.25,2.5,3.75
"109",25,"F",20,25,3.16666666666667,2.33333333333333,4
"110",21,"F",27,11,3.08333333333333,3,3.125
"111",22,"F",32,19,4.16666666666667,3,3.25
"112",25,"F",33,24,2.25,4,2.125
"113",20,"F",39,28,3.33333333333333,3.25,2.875
"114",24,"M",33,21,3.08333333333333,3.5,1.5
"115",20,"F",30,24,2.75,3.5,2.5
"116",21,"M",37,24,3.25,3.83333333333333,3.25
"117",20,"F",25,20,4,2.91666666666667,3.625
"118",20,"F",29,19,3.58333333333333,2.16666666666667,3.875
"119",31,"M",39,30,4.08333333333333,1.66666666666667,3.875
"120",20,"F",36,22,4.25,2.08333333333333,2.375
"121",22,"F",29,16,3.41666666666667,2.83333333333333,3
"122",22,"F",21,16,3.08333333333333,3.41666666666667,3.375
"123",21,"M",31,19,3.5,3.33333333333333,2.75
"124",22,"M",40,30,3.66666666666667,2.58333333333333,4.5
"125",21,"F",31,23,4.25,2.83333333333333,2.625
"126",21,"F",23,19,4.25,3.33333333333333,2.75
"127",21,"F",28,18,3.83333333333333,3,3.25
"128",21,"F",37,28,4.41666666666667,2.58333333333333,4.125
"129",20,"F",26,21,3.5,2.41666666666667,3.375
"130",21,"F",24,19,3.58333333333333,3.58333333333333,2.75
"131",25,"F",30,27,3.66666666666667,2.08333333333333,4.125
"132",21,"M",28,24,2.08333333333333,4.33333333333333,3.25
"133",24,"F",29,21,4.25,2.66666666666667,2.875
"134",20,"F",24,20,3.58333333333333,3,2.875
"135",21,"M",31,28,4,2.66666666666667,2.375
"136",20,"F",19,12,3.33333333333333,2.16666666666667,3.875
"137",20,"F",20,21,3.5,2.66666666666667,2.125
"138",18,"F",38,28,3.16666666666667,2.25,4
"139",21,"F",34,31,3.58333333333333,2.66666666666667,3.25
"140",19,"F",37,18,3.41666666666667,3.33333333333333,2.625
"141",21,"F",29,25,4.25,3.5,2.75
"142",20,"F",23,19,3.25,2.75,4
"143",21,"M",41,21,4.41666666666667,2,3
"144",20,"F",27,16,3.25,2.83333333333333,3.375
"145",21,"F",35,7,3.91666666666667,3.5,3.875
"146",20,"F",34,21,3.58333333333333,2.5,3.25
"147",18,"F",32,17,4.5,3.16666666666667,3.375
"148",22,"M",33,22,3.58333333333333,3.08333333333333,4.125
"149",22,"F",33,18,3.66666666666667,2.91666666666667,3.5
"150",24,"M",35,25,2.58333333333333,3.16666666666667,2
"151",19,"F",32,24,4.16666666666667,2.5,3.625
"152",20,"F",31,23,3.25,3.83333333333333,3.375
"153",20,"F",28,23,4.33333333333333,2.25,2.125
"154",17,"F",17,26,3.91666666666667,3.41666666666667,4.625
"155",19,"M",19,12,2.66666666666667,3.75,2.5
"156",20,"F",35,32,3.08333333333333,3,2.875
"157",20,"F",24,22,3.75,2.58333333333333,2.75
"158",20,"F",21,20,4.16666666666667,3.33333333333333,4
"159",20,"F",29,21,4.16666666666667,2.83333333333333,2.375
"160",19,"F",19,23,3.25,3,3.875
"161",19,"F",20,20,4.08333333333333,2.83333333333333,3.375
"162",22,"F",42,28,2.91666666666667,3.16666666666667,1.75
"163",35,"M",41,31,3.83333333333333,2.75,3
"164",18,"F",37,18,3.16666666666667,3.41666666666667,2.625
"165",19,"F",36,30,3.41666666666667,3,2.625
"166",21,"M",18,19,4.08333333333333,2.66666666666667,3.375
